"","Age","Location","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price","Brand"
"1681",6,"Kochi",32586,"Diesel","Automatic","First",22.48,1995,190,5,37.3,"BMW"
"1682",6,"Coimbatore",40129,"Diesel","Automatic","First",11.57,2987,254.79,5,70.8,"Mercedes-Benz"
"1684",6,"Kochi",10393,"Petrol","Manual","First",18.9,1197,81.86,5,6.03,"Hyundai"
"1685",13,"Mumbai",46000,"Petrol","Automatic","First",13.7,1798,157.75,5,4.9,"Skoda"
"1686",11,"Chennai",21000,"Petrol","Automatic","First",16.95,1197,78.9,5,3.96,"Hyundai"
"1687",13,"Hyderabad",113562,"Diesel","Manual","First",23,1396,90,5,4.6,"Hyundai"
"1688",13,"Mumbai",100010,"Diesel","Manual","Second",12.05,2179,120,8,5.5,"Mahindra"
"1689",11,"Mumbai",63107,"Petrol","Manual","First",19.4,1198,86.8,5,3.25,"Honda"
"1691",17,"Pune",90000,"Diesel","Manual","Fourth & Above",10.9,2499,143,7,3,"Ford"
"1692",13,"Chennai",108242,"Diesel","Manual","First",16.8,1493,110,5,4.25,"Hyundai"
"1693",13,"Pune",146300,"Diesel","Manual","First",11.5,2982,171,7,12.25,"Toyota"
"1698",12,"Hyderabad",58000,"Petrol","Manual","First",17,1197,80,5,4,"Hyundai"
"1699",9,"Mumbai",32500,"Diesel","Automatic","First",19.59,1995,187.74,5,26.75,"BMW"
"1700",8,"Coimbatore",58661,"Diesel","Automatic","First",15.17,1968,181,5,28.03,"Audi"
"1701",7,"Kochi",37124,"Petrol","Manual","First",20.4,1197,81.8,5,5.44,"Maruti"
"1702",7,"Delhi",44000,"Petrol","Automatic","First",21.4,1197,83.1,5,6.2,"Maruti"
"1703",19,"Kolkata",45200,"Petrol","Manual","First",13.2,1495,94,5,0.9,"Hyundai"
"1706",12,"Ahmedabad",55005,"Diesel","Manual","First",20,1399,68,5,2.75,"Ford"
"1707",13,"Hyderabad",81650,"Diesel","Automatic","First",18.33,1968,167.7,5,7.5,"Volkswagen"
"1708",14,"Chennai",160000,"Diesel","Manual","Second",19,1248,93,5,2.5,"Fiat"
"1710",11,"Hyderabad",67263,"Petrol","Manual","First",18.9,998,67.1,5,3.6,"Maruti"
"1711",12,"Kochi",44223,"Petrol","Manual","First",17.6,1496,88.7,5,3.99,"Toyota"
"1712",9,"Coimbatore",36840,"Petrol","Manual","First",18.9,1197,82,5,5.64,"Hyundai"
"1713",10,"Pune",160000,"Diesel","Manual","First",12.99,2494,100,8,12,"Toyota"
"1715",9,"Mumbai",69123,"Diesel","Automatic","First",18.88,1995,184,5,19,"BMW"
"1717",7,"Mumbai",5500,"Petrol","Manual","First",21.56,1462,103.25,5,8.2,"Maruti"
"1718",9,"Kolkata",1001,"Diesel","Manual","First",25.83,1498,99,5,7.55,"Ford"
"1720",13,"Delhi",78256,"Petrol","Automatic","First",16.8,1497,118,5,4.15,"Honda"
"1722",8,"Kolkata",18000,"Petrol","Manual","First",19.1,1197,85.8,5,4.4,"Maruti"
"1723",12,"Kolkata",60000,"Diesel","Manual","First",20,1399,68,5,2.1,"Ford"
"1724",13,"Jaipur",130000,"Diesel","Manual","First",20.3,1248,75,5,2.2,"Fiat"
"1725",6,"Coimbatore",32851,"Petrol","Manual","First",18.6,1197,81.86,5,8.34,"Hyundai"
"1727",10,"Hyderabad",62700,"Diesel","Manual","First",22.7,1498,89.84,5,6.8,"Ford"
"1728",14,"Jaipur",71000,"Diesel","Manual","First",19.3,1248,73.9,5,3.3,"Maruti"
"1729",8,"Kochi",19947,"Petrol","Manual","First",18.9,1197,82,5,5.04,"Hyundai"
"1730",12,"Hyderabad",91000,"Diesel","Automatic","First",11.4,2953,153.86,7,9.2,"Ford"
"1732",6,"Kochi",55594,"Diesel","Manual","First",18.49,1493,100,7,8.48,"Mahindra"
"1733",11,"Hyderabad",58000,"Diesel","Automatic","First",11.2,2993,306,4,48,"BMW"
"1736",7,"Pune",121000,"Diesel","Manual","First",24.52,1248,88.5,7,8,"Maruti"
"1737",14,"Jaipur",73513,"Petrol","Manual","First",19.7,796,46.3,5,1.85,"Maruti"
"1741",13,"Kochi",25805,"Petrol","Manual","First",18.2,1061,64,5,2.62,"Maruti"
"1743",18,"Chennai",110000,"Petrol","Manual","First",13.5,1799,130,5,2.65,"Honda"
"1744",12,"Delhi",88000,"Diesel","Manual","First",16,2179,140,7,5.99,"Mahindra"
"1745",13,"Chennai",110000,"Diesel","Manual","Second",21,1461,64.1,5,2.4,"Mahindra"
"1746",7,"Delhi",15000,"Petrol","Manual","First",21.7,999,67,5,4.25,"Renault"
"1750",13,"Chennai",37442,"Petrol","Manual","First",18.5,1197,80,5,3.4,"Hyundai"
"1754",13,"Coimbatore",75871,"Petrol","Automatic","First",9.43,2996,254,5,14.12,"BMW"
"1756",9,"Pune",69000,"Diesel","Automatic","First",0,2987,165,5,38,"Mercedes-Benz"
"1758",17,"Pune",220000,"Petrol","Automatic","Second",11.74,1796,186,5,6,"Mercedes-Benz"
"1759",8,"Kochi",28470,"Petrol","Manual","First",18.6,1197,81.83,5,6.95,"Hyundai"
"1761",10,"Pune",75216,"Diesel","Manual","First",22.9,1248,74,5,5.1,"Maruti"
"1762",7,"Chennai",8000,"Petrol","Manual","First",18.6,1197,81.83,5,6.75,"Hyundai"
"1763",10,"Mumbai",59451,"Petrol","Manual","First",18.5,1197,85.8,5,3.69,"Maruti"
"1764",11,"Hyderabad",53996,"Diesel","Manual","First",22.9,1248,74,5,5.45,"Maruti"
"1765",6,"Kochi",15135,"Petrol","Manual","First",17.5,1199,88.7,5,9.29,"Honda"
"1768",11,"Pune",21107,"Petrol","Manual","First",17.1,1591,121.3,5,5.25,"Hyundai"
"1769",10,"Mumbai",56000,"Petrol","Manual","First",16.8,1497,116.3,5,5.75,"Honda"
"1771",10,"Kochi",70963,"Diesel","Manual","First",15.1,2179,140,7,7.83,"Mahindra"
"1772",11,"Mumbai",25755,"CNG","Manual","First",26.6,998,58.16,5,3.15,"Maruti"
"1773",11,"Mumbai",51450,"Diesel","Manual","First",12.8,2494,102,7,10.4,"Toyota"
"1774",12,"Pune",75000,"Diesel","Manual","First",22.9,1248,74,5,4.35,"Maruti"
"1775",7,"Coimbatore",37832,"Petrol","Automatic","First",22.5,998,67,5,5.23,"Maruti"
"1776",8,"Coimbatore",43041,"Petrol","Manual","First",18.9,1197,81.86,5,6.01,"Hyundai"
"1777",10,"Hyderabad",97236,"Diesel","Manual","First",25.8,1498,98.6,5,4.4,"Honda"
"1778",14,"Chennai",83000,"Diesel","Automatic","First",16.07,1995,181,5,12.75,"BMW"
"1779",13,"Delhi",65000,"Petrol","Manual","First",15.6,1196,70,5,2.4,"Ford"
"1780",6,"Kochi",46007,"Petrol","Manual","First",17,1198,73.75,5,5.71,"Volkswagen"
"1781",9,"Kochi",65925,"Diesel","Manual","Second",22.7,1498,89.84,5,5.49,"Ford"
"1782",20,"Pune",73500,"Petrol","Manual","Second",13,1343,90,5,1.3,"Honda"
"1783",10,"Kolkata",55000,"Diesel","Manual","First",16,2179,140,7,8.5,"Mahindra"
"1784",12,"Delhi",115000,"Diesel","Manual","First",13,2982,168.5,7,12.99,"Toyota"
"1785",7,"Kolkata",31184,"Petrol","Manual","First",18.9,1197,81.86,5,5,"Hyundai"
"1786",7,"Pune",41747,"Diesel","Automatic","First",28.4,1248,73.75,5,9,"Maruti"
"1788",12,"Pune",19030,"Petrol","Manual","First",16.47,1198,73.9,5,3.8,"Volkswagen"
"1789",5,"Coimbatore",20877,"Petrol","Manual","First",18.16,1197,78.9,5,7.27,"Toyota"
"1791",11,"Bangalore",29000,"Diesel","Automatic","First",14.21,2143,203,5,29,"Mercedes-Benz"
"1792",11,"Pune",61000,"Petrol","Manual","First",18.9,998,67.1,5,2.9,"Maruti"
"1793",12,"Kochi",4187,"Petrol","Manual","First",26,624,35,4,1.38,"Tata"
"1795",8,"Mumbai",28000,"Petrol","Automatic","First",17.21,1197,103.5,5,7.25,"Volkswagen"
"1796",10,"Coimbatore",83558,"Diesel","Manual","First",22.32,1582,126.32,5,6.98,"Hyundai"
"1797",7,"Hyderabad",40000,"Diesel","Manual","First",22.95,1248,74,5,5.25,"Tata"
"1799",10,"Bangalore",21000,"Diesel","Automatic","First",17.11,1968,174.33,5,24.5,"Audi"
"1800",11,"Kochi",62162,"Diesel","Manual","First",12.99,2494,100,7,8.31,"Toyota"
"1801",12,"Hyderabad",83000,"Diesel","Automatic","First",11.74,2987,254.8,5,36,"Mercedes-Benz"
"1803",13,"Kochi",62332,"Petrol","Automatic","First",11.7,2354,177.6,5,5.89,"Honda"
"1804",8,"Kochi",50867,"Diesel","Manual","First",20.34,1498,103.2,5,7.95,"Volkswagen"
"1805",14,"Mumbai",73000,"Petrol","Manual","First",17,1197,80,5,2.75,"Hyundai"
"1806",12,"Jaipur",98008,"Diesel","Manual","First",22.7,1582,126.24,5,6.25,"Hyundai"
"1808",5,"Kochi",27339,"Petrol","Manual","First",18.6,1197,81.83,5,6.27,"Hyundai"
"1810",10,"Kolkata",37000,"Petrol","Manual","First",18.9,1197,82,5,3.5,"Hyundai"
"1811",9,"Hyderabad",56000,"Diesel","Automatic","First",14.16,1968,174.3,5,35,"Audi"
"1812",9,"Kolkata",27000,"Petrol","Manual","First",17.5,1298,85.8,5,4.45,"Maruti"
"1814",7,"Kolkata",10500,"Diesel","Manual","First",25.32,1198,77,5,4.7,"Mahindra"
"1815",10,"Ahmedabad",49000,"Diesel","Automatic","First",18.23,1582,126.2,5,8.9,"Hyundai"
"1816",7,"Mumbai",7000,"Diesel","Manual","First",17.1,1956,170,5,17.45,"Jeep"
"1817",7,"Coimbatore",71256,"Diesel","Manual","First",24.3,1248,88.5,5,9.58,"Maruti"
"1818",12,"Kochi",83184,"Petrol","Manual","First",14.28,1798,138.03,5,6.22,"Toyota"
"1819",11,"Kolkata",87284,"Diesel","Manual","First",15.1,2179,140,7,7.8,"Mahindra"
"1820",8,"Mumbai",7000,"Diesel","Automatic","First",20.68,1995,190,5,27.75,"BMW"
"1822",7,"Coimbatore",33552,"Diesel","Automatic","First",11.57,2987,254.79,5,64.87,"Mercedes-Benz"
"1823",11,"Bangalore",64000,"Diesel","Manual","Second",17.3,1998,163.7,5,6.5,"Chevrolet"
"1825",12,"Mumbai",70000,"Petrol","Manual","Second",19.4,1198,86.8,5,2.5,"Honda"
"1827",9,"Delhi",58000,"Petrol","Manual","First",16.47,1198,73.9,5,3.95,"Volkswagen"
"1829",15,"Pune",73204,"Diesel","Automatic","Third",18.1,1991,147.9,4,3.5,"Chevrolet"
"1832",11,"Delhi",90000,"Diesel","Manual","First",25.8,1498,98.6,5,3.8,"Honda"
"1834",6,"Kochi",46493,"Petrol","Manual","First",18.9,1197,81.86,5,5.53,"Hyundai"
"1835",15,"Pune",68000,"Petrol","Manual","Third",20.36,1197,78.9,5,1.95,"Hyundai"
"1836",7,"Hyderabad",2000,"Diesel","Manual","First",28.4,1248,74,5,8.2,"Maruti"
"1837",25,"Pune",140000,"Petrol","Manual","First",13,1343,90,5,0.9,"Honda"
"1838",11,"Pune",255000,"Diesel","Manual","Third",12.99,2494,100.6,7,6.5,"Toyota"
"1841",13,"Mumbai",57000,"Petrol","Manual","Second",14.49,1399,92.7,5,2.1,"Chevrolet"
"1842",16,"Chennai",85445,"Petrol","Manual","Second",19.81,1086,68.05,5,2,"Hyundai"
"1843",9,"Delhi",54000,"Diesel","Manual","First",24.4,1120,71,5,3.7,"Hyundai"
"1845",10,"Jaipur",60000,"Petrol","Manual","First",20.36,1197,78.9,5,3.25,"Hyundai"
"1846",9,"Coimbatore",65668,"Diesel","Manual","First",19.87,1461,83.8,5,5.53,"Renault"
"1847",13,"Ahmedabad",100000,"Diesel","Automatic","Second",22.69,1995,190,5,10.9,"BMW"
"1848",6,"Kolkata",1800,"Petrol","Manual","First",18.9,1197,82,5,5.1,"Hyundai"
"1849",17,"Hyderabad",96000,"Petrol","Manual","Second",0,999,78.96347929,5,2.2,"Hyundai"
"1850",15,"Pune",44200,"Petrol","Manual","Second",18,995,62,5,1.6,"Chevrolet"
"1853",12,"Delhi",73000,"Diesel","Automatic","First",11.5,2982,169,7,14.4,"Toyota"
"1854",13,"Delhi",68000,"Petrol","Manual","First",17,1497,118,5,3.6,"Honda"
"1855",7,"Jaipur",19543,"Diesel","Automatic","First",18.12,1995,190,5,40.5,"BMW"
"1856",10,"Bangalore",38000,"Diesel","Automatic","Second",14.16,1968,174.3,5,38.95,"Audi"
"1858",8,"Kochi",44782,"Diesel","Automatic","First",21.21,1498,103.2,5,7.12,"Volkswagen"
"1859",8,"Kochi",55700,"Diesel","Manual","First",26,1498,98.6,5,7.52,"Honda"
"1861",10,"Hyderabad",56000,"Petrol","Manual","First",15,1598,103.52,5,7,"Skoda"
"1862",13,"Delhi",60000,"Diesel","Manual","First",11.5,2982,171,7,10.85,"Toyota"
"1863",14,"Mumbai",78563,"Diesel","Manual","First",16.52,1991,123.7,5,2.35,"Chevrolet"
"1865",7,"Delhi",17000,"Petrol","Manual","First",20.73,1373,91.1,5,7.65,"Maruti"
"1866",8,"Delhi",66000,"Diesel","Manual","First",28.09,1248,88.5,5,6.4,"Maruti"
"1867",10,"Pune",102418,"Diesel","Manual","First",12.99,2494,100.6,7,10.1,"Toyota"
"1869",5,"Kochi",10601,"Diesel","Automatic","First",11.36,2755,171.5,7,19.65,"Toyota"
"1870",7,"Pune",8200,"Diesel","Manual","First",25,1396,69,5,4.4,"Tata"
"1871",12,"Jaipur",100000,"Petrol","Manual","First",18.5,1197,82.85,5,3.25,"Hyundai"
"1873",9,"Kolkata",50000,"Diesel","Manual","First",18.2,1248,73.74,8,4.3,"Chevrolet"
"1874",18,"Chennai",89327,"Diesel","Manual","Third",17.8,1399,68,5,1.55,"Ford"
"1875",17,"Chennai",98000,"Petrol","Manual","Second",10.8,2354,152,5,4.7,"Honda"
"1877",6,"Delhi",6000,"Diesel","Automatic","First",11,2987,258,7,79,"Mercedes-Benz"
"1878",6,"Delhi",9434,"Petrol","Manual","First",18.9,1197,81.86,5,5.75,"Hyundai"
"1880",7,"Coimbatore",22440,"Diesel","Automatic","First",22,1498,108.495,5,8.89,"Volkswagen"
"1882",8,"Kolkata",21771,"Petrol","Manual","First",18.7,1199,88.7,5,4.95,"Honda"
"1883",10,"Delhi",62000,"Diesel","Manual","First",17.8,1248,75,5,3.75,"Maruti"
"1884",7,"Kochi",37024,"Diesel","Automatic","First",17.01,1582,126.2,5,10.97,"Hyundai"
"1885",10,"Kochi",60336,"Diesel","Automatic","Second",14.4,2967,241.4,5,24.94,"Audi"
"1887",14,"Jaipur",90000,"Diesel","Manual","Second",20,1399,68,5,1.4,"Ford"
"1888",6,"Coimbatore",35569,"Petrol","Manual","First",17,1198,73.75,5,7.27,"Volkswagen"
"1889",11,"Kolkata",40000,"Diesel","Manual","First",21.64,1461,84.8,5,4,"Renault"
"1890",9,"Kolkata",45000,"Petrol","Manual","First",18.7,1199,88.7,5,4.75,"Honda"
"1891",9,"Delhi",42000,"Petrol","Manual","First",17,1197,80,5,5.1,"Hyundai"
"1893",10,"Delhi",62000,"Diesel","Automatic","First",11.18,2696,184,7,10.55,"Mahindra"
"1894",7,"Ahmedabad",15000,"Diesel","Automatic","First",12.9,2755,174.5,7,30,"Toyota"
"1896",12,"Hyderabad",41367,"Diesel","Automatic","First",15.8,2148,170,5,18.49,"Mercedes-Benz"
"1897",6,"Kochi",15982,"Petrol","Manual","First",20.73,1373,91.1,5,9.96,"Maruti"
"1899",22,"Bangalore",63000,"Diesel","Manual","Third",13.1,2446,75,10,3.65,"Toyota"
"1900",12,"Delhi",49000,"Diesel","Automatic","Second",16.73,2495,218,5,15.5,"BMW"
"1901",11,"Kochi",48272,"Diesel","Manual","First",10.5,2835,116.9,6,11.82,"Mitsubishi"
"1902",16,"Delhi",63000,"Petrol","Manual","First",13.4,1794,125,5,2.05,"Toyota"
"1903",8,"Ahmedabad",77000,"CNG","Manual","First",26.6,998,58.16,5,3.3,"Maruti"
"1905",10,"Kochi",62012,"Diesel","Automatic","First",17.68,1968,174.33,5,20.12,"Audi"
"1906",7,"Chennai",46000,"CNG","Manual","First",25,1197,81.86,5,4.95,"Hyundai"
"1907",8,"Coimbatore",45449,"Diesel","Manual","First",27.3,1498,98.6,5,7.48,"Honda"
"1908",20,"Mumbai",85000,"Petrol","Automatic","Second",10.5,1796,157.7,5,5.5,"Mercedes-Benz"
"1909",11,"Kochi",45330,"Diesel","Automatic","First",16.55,1968,147.51,5,13.19,"Audi"
"1910",12,"Mumbai",88000,"Petrol","Manual","First",19.1,1197,85.8,5,3.85,"Maruti"
"1911",8,"Delhi",45376,"Diesel","Manual","First",28.4,1248,73.75,5,5.75,"Maruti"
"1912",10,"Pune",81000,"Diesel","Manual","First",15.1,2179,140,7,9,"Mahindra"
"1913",12,"Kochi",83381,"Petrol","Manual","First",18.6,1199,79.4,5,2.21,"Chevrolet"
"1914",7,"Kochi",78526,"Diesel","Manual","First",23,1498,98.96,5,8.09,"Ford"
"1915",7,"Coimbatore",27313,"Diesel","Automatic","First",14.69,2993,258,5,48.63,"BMW"
"1916",9,"Coimbatore",42747,"Diesel","Automatic","Second",14.16,1968,174.3,5,39.47,"Audi"
"1917",9,"Coimbatore",42265,"Diesel","Automatic","Second",20.68,1995,190,5,22.24,"BMW"
"1918",15,"Mumbai",21000,"Petrol","Automatic","First",19.2,1197,80,5,2.6,"Hyundai"
"1920",10,"Chennai",70000,"Diesel","Automatic","First",17.11,1968,174.33,5,18,"Audi"
"1922",12,"Kolkata",58235,"Petrol","Manual","First",20.36,1197,78.9,5,2.45,"Hyundai"
"1924",13,"Kolkata",35000,"Diesel","Manual","First",20.54,1598,103.6,5,3.15,"Volkswagen"
"1925",7,"Jaipur",24000,"Diesel","Manual","First",28.4,1248,73.75,5,8.2,"Maruti"
"1926",8,"Ahmedabad",98000,"Diesel","Manual","First",15.4,1997,120,7,11.5,"Mahindra"
"1927",8,"Coimbatore",44487,"Diesel","Manual","First",22.54,1396,88.73,5,7.3,"Hyundai"
"1928",16,"Chennai",65000,"Petrol","Manual","First",19.7,796,46.3,5,1.59,"Maruti"
"1929",9,"Delhi",34951,"Petrol","Manual","Second",20.36,1197,78.9,5,3.15,"Hyundai"
"1931",14,"Hyderabad",66285,"Diesel","Manual","First",19.5,1199,75,5,3,"Skoda"
"1932",12,"Mumbai",66000,"Diesel","Automatic","First",15.3,2993,258,5,21,"BMW"
"1933",8,"Hyderabad",43000,"Diesel","Manual","First",27.3,1498,98.6,5,7.75,"Honda"
"1934",11,"Mumbai",45200,"Diesel","Automatic","First",10,2148,170,5,23,"Mercedes-Benz"
"1935",8,"Mumbai",41000,"Diesel","Automatic","First",16,2179,140,7,13.75,"Mahindra"
"1936",7,"Kochi",39430,"Petrol","Automatic","First",18,1497,117.3,5,8.29,"Honda"
"1937",10,"Coimbatore",83274,"Diesel","Manual","First",22.9,1248,74,5,5.79,"Maruti"
"1939",13,"Mumbai",49999,"Petrol","Manual","First",17,1497,118,5,3.8,"Honda"
"1941",12,"Delhi",54000,"Petrol","Manual","First",18.5,1197,82.85,5,3.3,"Hyundai"
"1942",15,"Jaipur",80000,"Diesel","Manual","Second",20.4,1248,91.2,5,1.75,"Fiat"
"1943",13,"Bangalore",72000,"Petrol","Automatic","Second",12.9,1799,130,5,5.5,"Honda"
"1944",7,"Pune",44865,"Diesel","Manual","First",19.67,1582,126.2,5,13.35,"Hyundai"
"1945",7,"Delhi",22000,"Diesel","Automatic","Second",20.38,1968,143,5,22.5,"Audi"
"1947",13,"Hyderabad",75000,"Diesel","Manual","First",21.9,1396,90,5,3.75,"Hyundai"
"1948",9,"Kochi",50624,"Diesel","Manual","First",24.2,1498,98.6,7,6.32,"Honda"
"1950",18,"Chennai",87000,"Petrol","Manual","Second",15.3,1596,101,5,1.37,"Ford"
"1951",14,"Mumbai",62000,"Petrol","Manual","First",20.36,1197,78.9,5,2.1,"Hyundai"
"1953",9,"Ahmedabad",70000,"Diesel","Manual","First",12.99,2494,100.6,7,12,"Toyota"
"1954",7,"Pune",35000,"Diesel","Automatic","First",17.9,2143,136,5,23.5,"Mercedes-Benz"
"1955",18,"Hyderabad",71993,"Petrol","Manual","First",19.7,796,46.3,5,1.8,"Maruti"
"1956",11,"Chennai",62000,"Diesel","Automatic","Second",14.84,2143,170,5,12.5,"Mercedes-Benz"
"1957",9,"Delhi",51000,"Diesel","Manual","First",22.9,1248,74,5,4.74,"Maruti"
"1959",6,"Kochi",37713,"Diesel","Automatic","Second",12.55,2982,168.5,7,31.62,"Toyota"
"1960",13,"Kolkata",78088,"Petrol","Manual","First",12.4,1998,132,8,6.3,"Toyota"
"1962",8,"Pune",54000,"Petrol","Manual","First",18.16,1196,86.8,5,5,"Ford"
"1963",13,"Chennai",190000,"Diesel","Manual","First",11.5,2982,171,7,13,"Toyota"
"1964",12,"Hyderabad",65097,"Petrol","Manual","First",19.1,1197,85.8,5,4.7,"Maruti"
"1965",6,"Coimbatore",28060,"Petrol","Automatic","First",12.05,2979,320,5,93.67,"BMW"
"1966",12,"Pune",282000,"Petrol","Manual","First",13.14,1798,160,5,3.3,"Skoda"
"1967",15,"Jaipur",111000,"Petrol","Manual","Second",18.9,1061,67,5,1.51,"Maruti"
"1968",11,"Kochi",63295,"Diesel","Manual","First",19.01,1461,108.45,5,6.09,"Renault"
"1970",12,"Hyderabad",125928,"Diesel","Manual","First",22.7,1582,126.24,5,9,"Hyundai"
"1971",9,"Kolkata",45000,"Diesel","Automatic","First",21.66,1498,103.52,5,4.25,"Skoda"
"1973",13,"Mumbai",54774,"Petrol","Automatic","First",11.7,2354,177.6,5,6.35,"Honda"
"1974",10,"Chennai",41123,"Petrol","Manual","First",23.1,998,67.04,5,3.4,"Maruti"
"1976",10,"Chennai",48000,"Diesel","Automatic","First",22.69,1995,190,5,21.6,"BMW"
"1977",13,"Chennai",173000,"Diesel","Manual","First",20.54,1598,103.6,5,4,"Volkswagen"
"1978",6,"Pune",12000,"Diesel","Manual","First",23.4,1248,74,5,5.5,"Maruti"
"1980",12,"Hyderabad",71360,"Diesel","Manual","First",21.9,1396,90,5,3.95,"Hyundai"
"1982",6,"Kochi",28937,"Diesel","Manual","First",17.1,1956,170,5,17.02,"Jeep"
"1983",12,"Hyderabad",82085,"Diesel","Manual","First",20.77,1248,88.76,7,6.5,"Maruti"
"1984",13,"Bangalore",68465,"Petrol","Manual","First",15.6,1196,70,5,2.95,"Ford"
"1985",11,"Coimbatore",63854,"Diesel","Manual","First",21.43,1364,86.79,5,7.12,"Toyota"
"1986",6,"Chennai",3000,"Diesel","Automatic","First",24.3,1248,88.5,5,11.25,"Maruti"
"1987",15,"Delhi",65055,"Petrol","Manual","First",17,1497,118,5,2.75,"Honda"
"1988",9,"Hyderabad",120000,"Diesel","Manual","First",15.4,2179,120,7,12,"Mahindra"
"1989",10,"Mumbai",64241,"Petrol","Manual","First",20.14,1197,81.86,5,3.67,"Hyundai"
"1990",23,"Pune",121000,"Diesel","Manual","First",15,2148,96.57555159,5,5,"Mercedes-Benz"
"1991",16,"Pune",2200,"Petrol","Manual","First",15.7,1390,75,5,2.3,"Mahindra"
"1992",16,"Pune",88123,"Diesel","Manual","First",18.7,1896,66,5,2.2,"Skoda"
"1994",8,"Bangalore",28143,"Diesel","Automatic","First",20.68,1995,190,5,28.5,"BMW"
"1995",9,"Mumbai",23001,"Petrol","Manual","First",15.04,1598,103.2,5,5.49,"Volkswagen"
"1997",15,"Bangalore",75000,"Diesel","Manual","First",13.8,1399,68,5,1.99,"Ford"
"1999",7,"Hyderabad",67000,"Diesel","Manual","First",13.68,2393,147.8,7,16.5,"Toyota"
"2000",8,"Pune",25000,"Petrol","Manual","First",18.9,1197,82,5,5,"Hyundai"
"2001",7,"Mumbai",12000,"Petrol","Manual","First",17,1198,73.75,5,5.4,"Volkswagen"
"2002",7,"Kolkata",25000,"Petrol","Manual","First",25.17,799,53.3,5,2.99,"Renault"
"2003",13,"Jaipur",95936,"Petrol","Manual","First",17,1497,118,5,4.1,"Honda"
"2004",6,"Kochi",5354,"Petrol","Automatic","First",18.9,1197,81.86,5,6.76,"Hyundai"
"2005",8,"Chennai",42000,"Petrol","Manual","Second",18.78,999,75,5,5.5,"Volkswagen"
"2006",10,"Coimbatore",44282,"Diesel","Manual","First",25.2,1248,74,5,5.99,"Maruti"
"2007",12,"Delhi",70000,"Diesel","Manual","First",21.64,1461,84.8,5,2.59,"Nissan"
"2008",11,"Mumbai",31400,"Diesel","Automatic","First",16.36,2179,187.7,5,26.75,"Jaguar"
"2009",8,"Pune",50000,"Diesel","Manual","First",28.09,1248,88.5,5,8.5,"Maruti"
"2010",13,"Bangalore",53000,"Diesel","Automatic","First",12.8,1968,167.6,5,23,"Audi"
"2012",12,"Bangalore",43000,"Diesel","Automatic","Second",11.72,2199,194.3,7,10.75,"Hyundai"
"2013",11,"Kolkata",75000,"Diesel","Manual","First",12.05,2179,120,8,6.29,"Mahindra"
"2014",10,"Bangalore",73557,"Diesel","Manual","First",19.6,1461,108.45,5,7.75,"Renault"
"2016",11,"Coimbatore",54885,"Petrol","Manual","First",15.1,1196,73,7,3.75,"Maruti"
"2018",18,"Jaipur",101000,"Petrol","Manual","Second",18.9,998,67.1,5,1.5,"Maruti"
"2019",19,"Chennai",66000,"Petrol","Manual","First",14,1061,64,5,1.45,"Maruti"
"2020",11,"Coimbatore",84360,"Petrol","Manual","First",15.5,1586,103.3,5,4.12,"Maruti"
"2022",9,"Pune",100000,"Diesel","Manual","Second",12.99,2494,100.6,7,10.25,"Toyota"
"2024",9,"Pune",190000,"Petrol","Manual","Second",16.78,1496,88.73,5,3.85,"Toyota"
"2025",10,"Hyderabad",85670,"Diesel","Manual","First",22.7,1498,89.84,5,6.25,"Ford"
"2026",9,"Hyderabad",35000,"Diesel","Manual","First",24,1120,70,5,4.88,"Hyundai"
"2027",8,"Mumbai",8000,"Petrol","Automatic","First",18,1497,117.3,5,9.45,"Honda"
"2028",17,"Hyderabad",162000,"Diesel","Manual","Second",12.8,2494,102,8,4.8,"Toyota"
"2029",12,"Kolkata",60000,"Petrol","Manual","First",21.1,814,55.2,5,1.99,"Hyundai"
"2030",14,"Hyderabad",70600,"Petrol","Manual","First",20.36,1197,78.9,5,2.8,"Hyundai"
"2031",13,"Bangalore",25000,"Petrol","Automatic","Second",12.3,1796,185,5,22,"Mercedes-Benz"
"2032",12,"Hyderabad",75000,"Diesel","Manual","First",15.96,2523,62.1,7,4.3,"Mahindra"
"2033",10,"Coimbatore",85071,"Diesel","Automatic","First",20,1968,138.1,5,9.75,"Skoda"
"2034",9,"Ahmedabad",40000,"Petrol","Manual","First",20.4,1197,81.8,5,5.9,"Maruti"
"2035",11,"Delhi",67000,"Diesel","Automatic","First",16.55,1968,147.51,5,14.5,"Audi"
"2036",15,"Hyderabad",55000,"Diesel","Manual","Second",17.8,1399,68,5,2.4,"Ford"
"2037",16,"Mumbai",62000,"Petrol","Manual","Second",15,1586,104.68,5,2.11,"Maruti"
"2040",11,"Jaipur",72000,"Diesel","Manual","First",10.5,2179,120,8,6,"Mahindra"
"2041",10,"Mumbai",83128,"Diesel","Manual","First",15.4,2179,120,7,7.45,"Mahindra"
"2042",13,"Chennai",75000,"Petrol","Manual","First",19.7,796,46.3,5,2.1,"Maruti"
"2043",11,"Ahmedabad",58000,"Diesel","Manual","Second",19.01,1461,108.45,5,5.2,"Renault"
"2048",15,"Kolkata",65000,"Diesel","Manual","Second",13.6,1991,142,5,4.9,"Hyundai"
"2049",9,"Kochi",75863,"Diesel","Manual","First",19.01,1461,108.45,5,6.7,"Renault"
