"","X","Year","Age","Name","Location","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","New_Price"
"200",200,2014,10,"Maruti Dzire ZDI","Coimbatore",64917,"Diesel","Manual","First",28.4,1248,73.75,5,8.95
"201",201,2017,7,"Honda City i VTEC V","Jaipur",19678,"Petrol","Manual","First",17.8,1497,117.3,5,12.3309808381286
"202",202,2014,10,"Jaguar XF Diesel","Kolkata",12000,"Diesel","Automatic","First",14.74,2993,270.9,5,74.1809654974714
"203",203,2014,10,"BMW 3 Series 320d Luxury Line","Delhi",41309,"Diesel","Automatic","First",18.88,1995,184,5,53.4945869678588
"204",204,2018,6,"BMW 3 Series Luxury Line","Coimbatore",25038,"Diesel","Automatic","First",21.76,1995,190,5,62.07
"205",205,2016,8,"Chevrolet Beat Diesel LS","Coimbatore",68673,"Diesel","Manual","First",25.44,936,56.3,5,8.93157758405451
"206",206,2018,6,"Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Coimbatore",26343,"Diesel","Automatic","First",19.27,2143,167.62,5,52.6572182800396
"207",207,2005,19,"Maruti Omni E 8 Str STD","Bangalore",81245,"Petrol","Manual","Fourth & Above",16.8,796,34.2,8,7.64215108741515
"208",208,2012,12,"Nissan Micra Diesel XV","Delhi",62100,"Diesel","Manual","First",23.08,1461,63.1,5,9.23960186382746
"209",209,2013,11,"Volkswagen Vento Petrol Highline","Pune",104000,"Petrol","Manual","First",15.04,1598,103.6,5,12.0362015828717
"210",210,2014,10,"Audi A6 2011-2015 2.0 TDI Premium Plus","Coimbatore",114831,"Diesel","Automatic","First",17.68,1968,174.33,5,53.4192221210484
"211",211,2010,14,"Fiat Linea Dynamic","Mumbai",46000,"Petrol","Manual","First",14.6,1368,88.7,5,6.96064789799928
"212",212,2014,10,"Hyundai Verna 1.6 SX","Jaipur",80000,"Diesel","Manual","First",22.32,1582,126.32,5,15.2511043842746
"213",213,2016,8,"Hyundai i20 Active 1.2 S","Kolkata",9201,"Petrol","Manual","First",17.19,1197,81.86,5,7.06030068920173
"214",214,2013,11,"Honda Brio V MT","Kochi",55311,"Petrol","Manual","First",19.4,1198,86.8,5,7.0510515902658
"215",215,2015,9,"Honda Mobilio RS Option i DTEC","Coimbatore",58217,"Diesel","Manual","First",24.5,1498,98.6,7,13.0546347775949
"216",216,2013,11,"Mitsubishi Pajero Sport 4X4","Delhi",70655,"Diesel","Manual","First",13.5,2477,175.56,7,31.93
"217",217,2015,9,"Hyundai i10 Magna","Kolkata",46000,"Petrol","Manual","First",20.36,1197,78.9,5,7.11180912926952
"218",218,2014,10,"Tata Manza Club Class Quadrajet90 LS","Pune",125000,"Diesel","Manual","First",21.02,1248,88.8,5,10.4733894896536
"219",219,2014,10,"Renault Duster Adventure Edition","Mumbai",59000,"Diesel","Manual","First",19.01,1461,108.45,5,14.0493511221173
"220",220,2013,11,"Hyundai Verna CRDi 1.6 AT SX Plus","Mumbai",66000,"Diesel","Automatic","Second",22,1582,126.2,5,15.88
"221",221,2009,15,"Maruti Ritz VDi","Hyderabad",82242,"Diesel","Manual","First",21.1,1248,73.9,5,8.94733394988604
"222",222,2012,12,"Toyota Innova 2.5 V Diesel 8-seater","Hyderabad",107281,"Diesel","Manual","First",12.8,2494,102,8,17.5922478416657
"223",223,2015,9,"Tata Sumo EX 10/7 Str BSII","Chennai",196000,"Diesel","Manual","Second",12.2,1948,68,10,11.4838813561145
"224",224,2015,9,"Audi Q3 35 TDI Quattro Premium Plus","Ahmedabad",75000,"Diesel","Automatic","First",15.17,1968,181,5,43.65
"225",225,2011,13,"Fiat Grande Punto 1.2 Emotion","Kolkata",11791,"Petrol","Manual","First",16.2,1172,68,5,7.09229833645313
"226",226,2013,11,"Hyundai Elantra SX","Ahmedabad",46000,"Petrol","Manual","First",16.3,1797,147.5,5,21.8679330630493
"227",227,2011,13,"Volkswagen Polo Diesel Trendline 1.2L","Pune",81000,"Diesel","Manual","Second",22.07,1199,73.9,5,9.16223929099066
"228",228,2015,9,"Toyota Etios Cross 1.2L G","Coimbatore",46950,"Petrol","Manual","First",17.71,1197,78.8,5,8.23
"229",229,2017,7,"Hyundai Grand i10 Asta Option","Chennai",18000,"Petrol","Manual","First",18.9,1197,82,5,7.17951910639767
"230",230,2016,8,"Mahindra Scorpio S4 7 Seater","Coimbatore",95942,"Diesel","Manual","First",15.4,2179,120,7,15.8551291151405
"231",231,2016,8,"Maruti Ciaz VXi Plus","Kochi",42925,"Petrol","Manual","First",20.73,1373,91.1,5,8.72357326403871
"232",232,2014,10,"Ford Figo Petrol Titanium","Hyderabad",33750,"Petrol","Manual","First",15.6,1196,70.02,5,6.92248004592005
"233",233,2016,8,"Mini Cooper S","Mumbai",14000,"Petrol","Automatic","First",13.6,1598,181,4,44.1905924943591
"234",234,2015,9,"Hyundai Creta 1.6 CRDi SX","Bangalore",29000,"Diesel","Manual","First",19.67,1582,126.2,5,15.0928459284145
"235",235,2015,9,"Mahindra XUV500 W8 2WD","Kochi",67365,"Diesel","Manual","First",15.1,2179,140,7,25.8683752336474
"236",236,2014,10,"Mahindra XUV500 W8 2WD","Coimbatore",67791,"Diesel","Manual","First",15.1,2179,140,7,24.3391540118019
"237",237,2016,8,"Mahindra Thar CRDe AC","Hyderabad",20000,"Diesel","Manual","First",16.55,2498,105,6,11.3563726965181
"238",238,2011,13,"Maruti Swift Dzire VDi","Jaipur",90198,"Diesel","Manual","Second",19.3,1248,73.9,5,9.32445562810132
"239",239,2010,14,"Hyundai i10 Sportz 1.1L","Pune",77000,"Petrol","Manual","First",19.81,1086,68.05,5,7.06776446210341
"240",240,2017,7,"Maruti Ciaz VXi","Kochi",42520,"Petrol","Manual","First",20.73,1373,91.1,5,8.13471135470968
"241",241,2009,15,"Maruti Wagon R LXI DUO BSIII","Jaipur",87829,"LPG","Manual","First",17.3,1061,57.5,5,9.38225905641634
"242",242,2017,7,"Maruti Baleno Delta CVT","Ahmedabad",21701,"Petrol","Automatic","First",21.4,1197,83.1,5,8.57
"243",243,2008,16,"Maruti Alto LX BSIII","Coimbatore",86033,"Petrol","Manual","First",19.7,796,46.3,5,4.34787045364002
"244",244,2015,9,"Hyundai Xcent 1.2 Kappa S Option","Mumbai",25000,"Petrol","Manual","First",19.1,1197,81.86,5,7.07979026461023
"245",245,2011,13,"Toyota Corolla Altis Diesel D4DG","Kolkata",45000,"Diesel","Manual","First",21.43,1364,87.2,5,9.62092306075921
"246",246,2018,6,"Volkswagen Polo Petrol Highline 1.2L","Coimbatore",22987,"Petrol","Manual","First",16.47,1198,73.9,5,6.88584899207696
"247",247,2009,15,"Hyundai i10 Era","Jaipur",48725,"Petrol","Manual","First",19.81,1086,68.05,5,5.79693230177362
"248",248,2013,11,"Hyundai Grand i10 1.2 Kappa Sportz","Hyderabad",42500,"Petrol","Manual","First",18.9,1197,81.86,5,7.19
"249",249,2014,10,"Hyundai Verna 1.6 SX VTVT (O) AT","Mumbai",35000,"Petrol","Automatic","First",17.1,1591,121.4,5,18.1283058444057
"250",250,2014,10,"Ford Fiesta 1.4 SXi TDCi ABS","Bangalore",56000,"Diesel","Manual","Second",17.8,1399,68,5,9.49273164487657
"251",251,2014,10,"Tata Xenon XT EX 4X2","Hyderabad",10000,"Diesel","Manual","First",13.49,2179,138.03,5,32.2434324070691
"252",252,2010,14,"Maruti Alto K10 2010-2014 VXI","Mumbai",15669,"Petrol","Manual","First",20.92,998,67.1,5,4.94696905346955
"253",253,2016,8,"Audi A6 2011-2015 35 TDI Premium","Kochi",55331,"Diesel","Automatic","First",17.68,1968,174.33,5,52.4013147613323
"254",254,2015,9,"Renault Duster 85PS Diesel RxL Optional","Pune",44535,"Diesel","Manual","First",20.46,1461,83.8,5,10.1740755314034
"255",255,2012,12,"Mahindra Thar 4X4","Delhi",74000,"Diesel","Manual","First",16.55,2498,105,7,11.3051864641517
"256",256,2014,10,"Toyota Innova 2.5 GX (Diesel) 7 Seater","Delhi",77901,"Diesel","Manual","First",12.99,2494,100.6,7,23.1241487434239
"257",257,2010,14,"Maruti Swift Dzire VXi","Kolkata",58186,"Petrol","Manual","First",17.5,1298,85.8,5,7.39204265964218
"258",258,2010,14,"Chevrolet Aveo 1.6 LT","Mumbai",30000,"Petrol","Manual","First",14.2,1598,102,5,15.4302430244057
"259",259,2012,12,"Toyota Etios GD","Bangalore",90000,"Diesel","Manual","First",23.59,1364,79.3360508505993,5,9.70572618724673
"260",260,2018,6,"Jaguar XE Portfolio","Coimbatore",14730,"Petrol","Automatic","First",13.5,1999,246.74,5,56.98
"261",261,2013,11,"Maruti Alto LXi","Jaipur",40000,"Petrol","Manual","Second",19.7,796,46.3,5,4.43156507866108
"262",262,2007,17,"Chevrolet Aveo U-VA 1.2 LS","Chennai",88107,"Petrol","Manual","Second",15.26,1150,74.9,5,5.6215402687582
"263",263,2012,12,"Volkswagen Vento 1.5 TDI Highline","Delhi",53226,"Diesel","Manual","Second",20.64,1498,108.5,5,14.13
"264",264,2013,11,"Maruti Swift VDI BSIV","Hyderabad",76000,"Diesel","Manual","First",25.2,1248,74,5,8.82783198556231
"265",265,2008,16,"Toyota Innova 2.5 V Diesel 8-seater","Hyderabad",200000,"Diesel","Manual","Second",12.8,2494,102,8,15.8871805315059
"266",266,2013,11,"Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde","Hyderabad",73000,"Diesel","Automatic","First",14.21,2143,203,5,47.4777209008302
"267",267,2009,15,"Hyundai Accent GLE 1","Jaipur",77200,"Petrol","Manual","Second",13.2,1495,94,5,8.78075063360087
"268",268,2012,12,"Audi A4 New 2.0 TDI Multitronic","Delhi",67000,"Diesel","Automatic","Second",15.2,1968,140.8,5,47.2473069058027
"269",269,2005,19,"Chevrolet Tavera LS B3 10 Seats BSIII","Hyderabad",150000,"Diesel","Manual","Second",14.8,2499,80,10,11.6522280132495
"270",270,2009,15,"Mahindra Xylo E8 ABS BS IV","Jaipur",145278,"Diesel","Manual","Second",11.68,2498,112,8,18.1796102099938
"271",271,2015,9,"Hyundai i20 Active SX Diesel","Chennai",62083,"Diesel","Manual","First",21.19,1396,88.76,5,11.48
"272",272,2010,14,"Honda Civic 2006-2010 1.8 V MT","Pune",61696,"Petrol","Manual","First",13.5,1799,130,5,22.8714371692295
"273",273,2017,7,"Ford EcoSport 1.5 Diesel Titanium","Ahmedabad",28000,"Diesel","Manual","First",23,1498,98.96,5,11.2
"274",274,2013,11,"Mercedes-Benz New C-Class 220 CDI AT","Coimbatore",50142,"Diesel","Automatic","First",14.84,2143,170,5,46.1468155068937
"275",275,2014,10,"Skoda Superb Elegance 1.8 TSI AT","Mumbai",45000,"Petrol","Automatic","First",13.7,1798,157.75,5,35.0075299456716
"276",276,2014,10,"Skoda Rapid 1.5 TDI Elegance","Pune",97513,"Diesel","Manual","First",21.14,1498,103.52,5,13.2051073152588
"277",277,2011,13,"Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency","Mumbai",55000,"Petrol","Automatic","Second",12.3,1796,185,5,69.6041611075879
"278",278,2004,20,"Maruti 800 AC","Hyderabad",82000,"Petrol","Manual","Second",16.1,796,37,4,5.26532764490994
"279",279,2013,11,"Maruti Swift LDI","Delhi",71501,"Diesel","Manual","First",22.9,1248,74,5,8.81958091155228
"280",280,2017,7,"Honda BR-V i-DTEC S MT","Hyderabad",23000,"Diesel","Manual","First",21.9,1498,98.6,7,14.13
"281",281,2015,9,"Audi A6 2011-2015 2.0 TDI Technology","Kochi",66095,"Diesel","Automatic","First",17.68,1968,174.33,5,50.1695341314019
"282",282,2014,10,"Toyota Fortuner 3.0 Diesel","Mumbai",49500,"Diesel","Manual","First",11.5,2982,171,7,26.7429431906991
"283",283,2009,15,"Toyota Camry MT with Moonroof","Chennai",90000,"Petrol","Manual","First",13.4,2362,164.7,5,32.5866354273117
"284",284,2017,7,"Maruti Ignis 1.2 Delta","Mumbai",25384,"Petrol","Manual","First",20.89,1197,81.8,5,6.41
"285",285,2016,8,"Hyundai Verna 1.6 VTVT S","Delhi",27529,"Petrol","Manual","Second",17.01,1591,121.3,5,11.9881743181197
"286",286,2012,12,"Honda City V MT","Kochi",69297,"Petrol","Manual","First",16.8,1497,116.3,5,10.8680187936077
"287",287,2009,15,"Honda City 1.5 E MT","Hyderabad",66000,"Petrol","Manual","First",17,1497,118,5,11.4484637055952
"288",288,2012,12,"Mahindra Verito 1.5 D4 BSIV","Hyderabad",20000,"Diesel","Manual","First",21.03,1461,65,5,9.12
"289",289,2015,9,"Mercedes-Benz GL-Class 350 CDI Blue Efficiency","Chennai",67000,"Diesel","Automatic","First",11.3,2987,254.8,7,37.9483624116024
"290",290,2015,9,"Hyundai EON D Lite Plus","Coimbatore",36933,"Petrol","Manual","First",21.1,814,55.2,5,4.52097389463057
"291",291,2007,17,"Toyota Innova 2.5 G (Diesel) 8 Seater","Mumbai",194000,"Diesel","Manual","First",12.99,2494,100.6,8,15.0109573572265
"292",292,2013,11,"Maruti Ertiga VDI","Kolkata",42200,"Diesel","Manual","First",20.77,1248,88.76,7,11.6106026624355
"293",293,2015,9,"Audi Q7 3.0 TDI Quattro Premium Plus","Coimbatore",53093,"Diesel","Automatic","Second",12.07,2967,241.4,7,35.3098547355976
"294",294,2012,12,"Honda City 1.5 E MT","Pune",88000,"Petrol","Manual","Third",17,1497,118,5,12.8837575879937
"295",295,2017,7,"Maruti Alto K10 LXI","Kochi",42954,"Petrol","Manual","First",24.07,998,67.1,5,3.91
"296",296,2015,9,"Tata Indica V2 eLX","Chennai",106000,"Diesel","Manual","First",25,1396,69,5,8.76245349296664
"297",297,2015,9,"BMW 5 Series 2013-2017 520d Luxury Line","Kochi",41700,"Diesel","Automatic","First",18.12,1995,190,5,56.6533983165548
"298",298,2018,6,"Mercedes-Benz New C-Class C 220 CDI Avantgarde","Coimbatore",34464,"Diesel","Automatic","First",19.27,2143,170,5,52.3744323068726
"299",299,2010,14,"Chevrolet Beat LT","Ahmedabad",15000,"Petrol","Manual","First",17.8,1199,76.8,5,7.14912711880956
"300",300,2010,14,"Maruti Zen Estilo LXI BS IV","Pune",70000,"Petrol","Manual","Second",19,998,67.1,5,5.40705266354546
"301",301,2017,7,"Mahindra XUV500 W8 4WD","Hyderabad",119256,"Diesel","Manual","First",16,2179,140,7,22.9008448285616
"302",302,2011,13,"Honda City 1.5 V MT","Coimbatore",50036,"Petrol","Manual","First",17,1497,118,5,12.7748868707024
"303",303,2013,11,"Toyota Innova 2.5 VX (Diesel) 7 Seater","Ahmedabad",58000,"Diesel","Manual","First",12.99,2494,100.6,7,16.7148611946258
"304",304,2011,13,"Hyundai i20 1.2 Magna","Pune",75000,"Petrol","Manual","First",18.5,1197,80,5,7.13204513809179
"305",305,2013,11,"Maruti Alto K10 2010-2014 VXI","Hyderabad",53313,"Petrol","Manual","First",20.92,998,67.1,5,5.07036847344626
"306",306,2015,9,"Toyota Innova 2.5 G (Diesel) 8 Seater","Kolkata",73000,"Diesel","Manual","First",12.99,2494,100.6,8,17.2522510158099
"307",307,2013,11,"Nissan Micra Diesel XV","Kochi",83989,"Diesel","Manual","First",23.08,1461,63.1,5,9.62440539357022
"308",308,2015,9,"Hyundai Creta 1.6 CRDi SX","Chennai",86247,"Diesel","Manual","First",19.67,1582,126.2,5,15.1389026262834
"309",309,2016,8,"Toyota Innova 2.5 G (Diesel) 8 Seater","Mumbai",24000,"Diesel","Manual","First",12.99,2494,100.6,8,18.9006905547913
"310",310,2010,14,"Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency","Hyderabad",58000,"Diesel","Automatic","First",14.21,2143,203,5,47.3799997599364
"311",311,2015,9,"Hyundai i20 Asta 1.2","Kolkata",33000,"Petrol","Manual","First",18.6,1197,81.83,5,7.0194835675238
"312",312,2005,19,"Honda Accord VTi-L (AT)","Hyderabad",100000,"Petrol","Automatic","First",11.1,2354,142,5,49.5802517050507
"313",313,2017,7,"Toyota Innova Crysta 2.4 ZX MT","Hyderabad",65896,"Diesel","Manual","First",13.68,2393,147.8,7,25.04
"314",314,2016,8,"Hyundai i20 Asta Option 1.4 CRDi","Chennai",120000,"Diesel","Manual","First",22.54,1396,88.73,5,10.2750930589687
"315",315,2013,11,"Mahindra Verito Vibe 1.5 dCi D6","Mumbai",26000,"Diesel","Manual","First",20.8,1461,64.1,5,8.92
"316",316,2012,12,"Maruti Eeco 5 Seater AC","Chennai",62300,"Petrol","Manual","Second",15.1,1196,73,5,5.01
"317",317,2012,12,"Toyota Corolla Altis 1.8 G","Kochi",77801,"Petrol","Manual","First",14.28,1798,138.03,5,19.01
"318",318,2015,9,"Toyota Corolla Altis VL AT","Mumbai",42000,"Petrol","Automatic","First",14.28,1798,138.03,5,31.5715410357543
"319",319,2013,11,"Mercedes-Benz A Class A180 Sport","Bangalore",35000,"Petrol","Automatic","Second",15.5,1595,120.7,5,21.6578054870291
"320",320,2016,8,"Hyundai i20 Asta 1.4 CRDi","Kolkata",30134,"Diesel","Manual","First",22.54,1396,88.73,5,9.59642160930638
"321",321,2012,12,"Honda Accord 2.4 M/T","Delhi",79038,"Petrol","Manual","First",12.8,2354,177.6,5,47.7248840569979
"322",322,2009,15,"Honda Accord 2.4 AT","Mumbai",80000,"Petrol","Automatic","Second",11.7,2354,177.6,5,65.5803337836872
"323",323,2012,12,"Mahindra Bolero SLE BSIII","Hyderabad",75000,"Diesel","Manual","First",15.96,2523,62.1,7,11.2206467776843
"324",324,2010,14,"Maruti Ritz LDi","Bangalore",80000,"Diesel","Manual","First",21.1,1248,73.9,5,9.21530081676275
"325",325,2014,10,"Skoda Superb Elegance 1.8 TSI AT","Delhi",84419,"Petrol","Automatic","First",13.7,1798,157.75,5,33.0411110965241
"326",326,2013,11,"Honda Amaze S i-Vtech","Kolkata",70200,"Petrol","Manual","First",18,1198,86.7,5,6.94480028186173
"327",327,2013,11,"Volkswagen Vento Petrol Highline","Chennai",98000,"Petrol","Manual","Second",15.04,1598,103.6,5,12.2484841759494
"328",328,2016,8,"Maruti Ritz LDi","Chennai",131503,"Diesel","Manual","First",23.2,1248,73.94,5,9.15726549541628
"329",329,2011,13,"Honda City 1.5 S MT","Jaipur",54652,"Petrol","Manual","First",17,1497,118,5,12.8092101147746
"330",330,2010,14,"Volkswagen Jetta 2007-2011 1.6 Trendline","Mumbai",92000,"Petrol","Manual","Second",14,1595,102,5,13.1678818372811
"331",331,2010,14,"Ford Figo Petrol ZXI","Kolkata",44287,"Petrol","Manual","First",15.6,1196,70,5,6.9742227665291
"332",332,2015,9,"Toyota Innova 2.5 G (Diesel) 7 Seater","Pune",205000,"Diesel","Manual","First",12.99,2494,100.6,7,13.0824784610389
"333",333,2015,9,"Hyundai Elite i20 Asta Option","Hyderabad",48000,"Petrol","Manual","First",18.6,1197,81.86,5,9.45
"334",334,2016,8,"Mahindra KUV 100 mFALCON D75 K2","Mumbai",18000,"Diesel","Manual","First",25.32,1198,77,6,9.18417358629062
"335",335,2008,16,"Bentley Flying Spur W12","Bangalore",31200,"Petrol","Automatic","Second",10.2,5998,616,5,57.4699242115465
"336",336,2009,15,"Honda City 1.5 V MT","Pune",72000,"Petrol","Manual","First",17,1497,118,5,11.6709623570416
"337",337,2009,15,"Hyundai i20 Magna","Mumbai",85000,"Petrol","Manual","First",18.5,1197,80,5,7.02778523036856
"338",338,2010,14,"Honda City 1.5 V MT","Kolkata",27000,"Petrol","Manual","First",17,1497,118,5,12.2527360380879
"339",339,2012,12,"Toyota Fortuner 2.8 2WD MT","Mumbai",126000,"Diesel","Manual","First",14.24,2755,174.5,7,35.16
"340",340,2017,7,"Tata Indica V2 DLS BSIII","Pune",50000,"Diesel","Manual","First",17.88,1405,48.21,5,9.40009576847759
"341",341,2013,11,"Honda Amaze S i-Vtech","Mumbai",58811,"Petrol","Manual","Second",18,1198,86.7,5,7.13581160843399
"342",342,2013,11,"Volkswagen Polo Diesel Highline 1.2L","Pune",52196,"Diesel","Manual","First",22.07,1199,73.9,5,9.17254513928637
"343",343,2017,7,"Nissan Micra Active XV","Coimbatore",45105,"Petrol","Manual","First",19.69,1198,67.04,5,6.78
"344",344,2015,9,"Hyundai Grand i10 Sportz","Hyderabad",25160,"Petrol","Manual","Second",18.9,1197,82,5,7.17603546051961
"345",345,2017,7,"Tata Tigor 1.2 Revotron XZ Option","Hyderabad",18000,"Petrol","Manual","First",20.3,1199,84,5,6.99008498605919
"346",346,2007,17,"Honda Accord 2001-2003 2.3 VTI L MT","Bangalore",74000,"Petrol","Manual","First",11.9,2354,144,5,25.1158929843974
"347",347,2009,15,"Mahindra Xylo E4","Chennai",67700,"Diesel","Manual","First",14,2498,112,7,23.4912028809698
"348",348,2015,9,"Land Rover Freelander 2 S Business Edition","Kochi",61062,"Diesel","Automatic","First",12.39,2179,147.51,5,54.5879552386434
"349",349,2016,8,"Toyota Innova 2.5 VX (Diesel) 7 Seater","Kolkata",105000,"Diesel","Manual","First",12.99,2494,100.6,7,20.7153013931032
"350",350,2013,11,"Tata Indigo eCS eLX BS IV","Pune",155550,"Diesel","Manual","First",25,1396,69.01,5,8.94491614935345
"351",351,2016,8,"Maruti Vitara Brezza VDi Option","Delhi",66000,"Diesel","Manual","First",24.3,1248,88.5,5,10.2668686919049
"352",352,2012,12,"Honda City 1.5 V MT","Kochi",93884,"Petrol","Manual","Second",17,1497,118,5,12.2108685480063
"353",353,2009,15,"Fiat Linea Emotion (Diesel)","Mumbai",200000,"Diesel","Manual","First",20.4,1248,91.7,5,10.8643756821614
"354",354,2016,8,"Tata Tiago 1.2 Revotron XZ","Kolkata",57200,"Petrol","Manual","First",23.84,1199,84,5,6.24
"355",355,2013,11,"Volkswagen Polo Diesel Comfortline 1.2L","Hyderabad",93568,"Diesel","Manual","First",22.07,1199,73.9,5,9.38923187341612
"356",356,2014,10,"Maruti Wagon R VXI BS IV","Kolkata",54000,"Petrol","Manual","First",20.51,998,67.04,5,5.03603942857794
"357",357,2016,8,"Hyundai Creta 1.6 CRDi AT SX Plus","Bangalore",40571,"Diesel","Automatic","First",17.01,1582,126.2,5,42.990918360163
"358",358,2015,9,"Audi A4 35 TDI Technology","Hyderabad",59000,"Diesel","Automatic","First",18.25,1968,187.74,5,55.61
"359",359,2017,7,"BMW X1 xDrive 20d xLine","Coimbatore",17273,"Diesel","Automatic","First",20.68,1995,190,5,59.4054831994246
"360",360,2011,13,"Ford Endeavour 3.0L AT 4x2","Mumbai",100077,"Diesel","Automatic","Second",11.4,2953,153.86,7,31.2951442169281
"361",361,2011,13,"Hyundai i10 Magna AT","Kochi",39934,"Petrol","Automatic","First",19.2,1197,80,5,8.48299103161148
"362",362,2016,8,"Maruti Vitara Brezza LDi","Bangalore",46000,"Diesel","Manual","First",24.3,1248,88.5,5,9.42
"363",363,2016,8,"Honda City 1.5 V MT","Coimbatore",30842,"Petrol","Manual","First",17,1497,118,5,12.300741605894
"364",364,2005,19,"Mercedes-Benz New C-Class 200 K AT","Mumbai",65000,"Petrol","Automatic","Second",11.7,1796,178,5,43.7956784135771
"365",365,2016,8,"Volvo XC90 2007-2015 D5 AWD","Bangalore",70000,"Diesel","Manual","First",11.1,2400,200,7,28.5612581563432
"366",366,2011,13,"Toyota Fortuner 3.0 Diesel","Chennai",150152,"Diesel","Manual","Second",11.5,2982,171,7,23.339862570471
"367",367,2009,15,"Nissan Teana 230jM","Coimbatore",67038,"Petrol","Automatic","First",9.1,2349,207.781072537793,5,53.9999849404473
"368",368,2011,13,"Hyundai Santro Xing GLS CNG","Bangalore",43985,"CNG","Manual","First",11.88,1086,62.1,5,7.7544496778816
"369",369,2014,10,"BMW X6 xDrive30d","Coimbatore",58598,"Diesel","Automatic","First",11.2,2993,241,4,82.0558607419379
"370",370,2016,8,"Tata Indigo CS eVX","Pune",100000,"Diesel","Manual","First",25,1396,69.01,5,9.13076940079783
"371",371,2016,8,"Audi Q5 30 TDI quattro Premium Plus","Jaipur",35000,"Diesel","Automatic","First",14.16,1968,174.3,5,45.8658264055412
"372",372,2008,16,"Hyundai i10 Sportz 1.2","Pune",84500,"Petrol","Manual","First",20.36,1197,78.9,5,7.03022346836888
"373",373,2018,6,"Maruti Baleno Delta 1.2","Kolkata",18006,"Petrol","Manual","First",21.4,1197,83.1,5,7.0235055351007
"374",374,2013,11,"Maruti Swift VDI","Hyderabad",99000,"Diesel","Manual","First",28.4,1248,74,5,8.44
"375",375,2014,10,"Maruti Eeco 5 Seater AC","Delhi",51200,"Petrol","Manual","First",15.1,1196,73,5,4.56
"376",376,2014,10,"Toyota Land Cruiser Prado VX L","Pune",130000,"Diesel","Automatic","First",11,2982,170.3,7,26.7573159426415
"377",377,2017,7,"Hyundai Tucson 2.0 e-VGT 4WD AT GLS","Ahmedabad",25000,"Diesel","Automatic","First",16.38,1995,182.46,5,29.9
"378",378,2017,7,"Maruti Baleno Delta","Kochi",32352,"Petrol","Manual","First",21.4,1197,83.1,5,7.12
"379",379,2011,13,"Hyundai i10 Sportz 1.2","Bangalore",20000,"Petrol","Manual","First",20.36,1197,78.9,5,6.94648394560012
"380",380,2013,11,"Audi A4 2.0 TDI","Bangalore",46000,"Diesel","Automatic","Second",16.55,1968,147.51,5,49.5763520335024
"381",381,2018,6,"Maruti Dzire AMT ZXI Plus","Mumbai",12500,"Petrol","Automatic","First",22,1197,81.8,5,9.94
"382",382,2011,13,"Toyota Innova 2.5 GX 8 STR","Delhi",53138,"Diesel","Manual","Third",12.8,2494,102,8,19.4616454161982
"383",383,2013,11,"Maruti Swift Dzire Tour LDI","Pune",170000,"Diesel","Manual","Second",23.4,1248,74,5,8.92337849891291
"384",384,2012,12,"Maruti Swift LDI","Kolkata",38583,"Diesel","Manual","First",22.9,1248,74,5,8.70996934424099
"385",385,2016,8,"Maruti Wagon R VXI AMT Opt","Hyderabad",26000,"Petrol","Automatic","First",22.5,998,67,5,6.44
"386",386,2017,7,"Hyundai Creta 1.6 SX Plus Dual Tone Petrol","Coimbatore",22865,"Petrol","Manual","First",15.29,1591,121.3,5,13.0148900385744
"387",387,2013,11,"Skoda Laura L and K MT","Kolkata",45000,"Diesel","Manual","First",17.5,1896,106,5,14.4254595414866
"388",388,2017,7,"Maruti Swift LXI Option","Kochi",62889,"Petrol","Manual","First",20.4,1197,81.8,5,7.2958689816111
"389",389,2013,11,"Maruti Omni MPI CARGO BSIV","Pune",153000,"Petrol","Manual","First",16.8,796,34.2,5,6.62291345544626
"390",390,2016,8,"Maruti Swift VDI","Ahmedabad",67000,"Diesel","Manual","First",28.4,1248,74,5,7.67
"391",391,2014,10,"Honda Amaze S AT i-Vtech","Mumbai",39000,"Petrol","Automatic","First",15.5,1198,86.7,5,12.7516307467296
"392",392,2006,18,"Toyota Corolla H2","Chennai",164000,"Petrol","Manual","Second",13.4,1794,125,5,15.2791588157014
"393",393,2018,6,"Maruti Swift Dzire Vdi BSIV","Coimbatore",57178,"Diesel","Manual","First",19.3,1248,73.9,5,9.32013682355084
"394",394,2013,11,"Audi A6 2011-2015 2.0 TDI Premium Plus","Delhi",40000,"Diesel","Automatic","First",17.68,1968,174.33,5,53.0738146295981
"395",395,2007,17,"Chevrolet Spark 1.0 LT","Mumbai",40000,"Petrol","Manual","First",18,995,62,5,5.47543512909696
"396",396,2007,17,"Hyundai Verna CRDi ABS","Mumbai",89564,"Diesel","Manual","Third",18.1,1493,110,5,14.7132723785131
"397",397,2012,12,"Maruti Ertiga VXI","Delhi",66727,"Petrol","Manual","First",16.02,1373,93.7,7,10.0491802856575
"398",398,2013,11,"Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus","Mumbai",75000,"Diesel","Automatic","Second",15.73,1968,174.33,5,45.4404688305125
